ID,Activity
1228,3
1229,2
1230,3
1231,4
1232,3
1233,3
1234,0
1235,5
1236,1
1237,2
1238,3
1239,3
1240,3
1241,4
1242,2
1243,5
1244,3
1245,5
1246,4
1247,3
1248,1
1249,1
1250,2
1251,3
1252,0
1253,4
1254,0
1255,3
1256,4
1257,2
1258,0
1259,0
1260,5
1261,3
1262,3
1263,2
1264,1
1265,2
1266,1
1267,2
1268,4
1269,1
1270,2
1271,5
1272,3
1273,4
1274,4
1275,0
1276,4
1277,3
1278,3
1279,1
1280,3
1281,4
1282,1
1283,1
1284,1
1285,2
1286,3
1287,2
1288,5
1289,0
1290,2
1291,1
1292,1
1293,3
1294,3
1295,1
1296,4
1297,1
1298,5
1299,2
1300,0
1301,0
1302,3
1303,4
1304,0
1305,4
1306,4
1307,4
1308,5
1309,4
1310,0
1311,0
1312,0
1313,3
1314,0
1315,4
1316,3
1317,2
1318,0
1319,1
1320,3
1321,3
1322,1
1323,3
1324,3
1325,1
1326,5
1327,4
1328,1
1329,3
1330,1
1331,4
1332,2
1333,1
1334,5
1335,0
1336,4
1337,0
1338,3
1339,1
1340,3
1341,0
1342,4
1343,5
1344,3
1345,4
1346,0
1347,4
1348,4
1349,4
1350,5
1351,2
1352,2
1353,0
1354,1
1355,4
1356,4
1357,2
1358,4
1359,4
1360,4
1361,4
1362,1
1363,3
1364,0
1365,3
1366,1
1367,3
1368,4
1369,1
1370,1
1371,1
1372,2
1373,0
1374,3
1375,3
1376,3
1377,3
1378,2
1379,0
1380,3
1381,1
1382,5
1383,4
1384,1
1385,0
1386,2
1387,3
1388,4
1389,5
1390,0
1391,3
1392,4
1393,2
1394,0
1395,2
1396,5
1397,5
1398,1
1399,0
1400,1
1401,3
1402,5
1403,3
1404,5
1405,0
1406,1
1407,2
1408,3
1409,3
1410,4
1411,1
1412,4
1413,3
1414,4
1415,0
1416,2
1417,2
1418,4
1419,1
1420,5
1421,3
1422,3
1423,5
1424,3
1425,4
1426,0
1427,0
1428,3
1429,3
1430,3
1431,4
1432,1
1433,2
1434,2
1435,3
1436,1
1437,5
1438,0
1439,1
1440,0
1441,2
1442,0
1443,0
1444,5
1445,3
1446,5
1447,4
1448,1
1449,2
1450,4
1451,2
1452,2
1453,1
1454,3
1455,2
1456,4
1457,2
1458,0
1459,1
1460,4
1461,5
1462,0
1463,2
1464,3
1465,4
1466,4
1467,4
1468,2
1469,3
1470,2
